Error Rate,Top 1%
0.052748724,0.917727977
0.0523602,0.919810363
0.062373732,0.924354825
0.062484595,0.923770439
0.054674423,0.917110396
0.049673427,0.926270845
0.049474531,0.92840214
0.055298072,0.925215208
0.055111227,0.928208508
0.048634065,0.927022908
0.048357975,0.929108005
0.053716584,0.926453892
0.053441357,0.929007228
0.054497966,0.927493172
0.063336292,0.934109565
0.054313024,0.930140061
0.063447513,0.933030209
0.054501651,0.9251198
0.050191002,0.927558782
0.049953938,0.929211287
0.059216802,0.934196609
0.059328124,0.93308515
0.055640178,0.925798124
0.055415164,0.928299701
0.052039049,0.916718984
0.051637949,0.918064721
0.061307832,0.923552203
0.061430284,0.922864048
0.061042784,0.922425205
0.04892456,0.925467182
0.048713088,0.928008265
0.054553407,0.924702982
0.054353985,0.927230008
0.047908783,0.925639142
0.047620118,0.928055772
0.053005312,0.925379237
0.052717509,0.927407335
0.053498522,0.927689638
0.062268795,0.932016923
0.053589516,0.928908833
0.062391606,0.930992868
0.062117404,0.930624091
0.053501233,0.927703175
0.04949953,0.926657385
0.049249889,0.928663472
0.058169104,0.932758221
0.050121273,0.931128663
0.058292015,0.931647543
0.058055975,0.931253261
0.054952907,0.924576416
0.054715316,0.926788137
0.054902686,0.918062862
0.060470216,0.916403547
0.04702343,0.910598369
0.053812212,0.917642483
0.053191429,0.920934271
0.052882887,0.923296339
0.062292724,0.927816282
0.053874971,0.918891896
0.06240459,0.926866337
0.048916831,0.921922291
0.048569257,0.923274499
0.06367807,0.925420039
0.054266093,0.917973524
0.053749353,0.92703671
0.053456058,0.928932452
0.062915333,0.933816056
0.063959549,0.932729094
0.054429862,0.924487687
0.06302646,0.93322209
0.05143863,0.916364037
0.060361591,0.922699294
0.060477293,0.92160525
0.05250288,0.919983982
0.052181762,0.922210713
0.061247949,0.926283346
0.061371405,0.925393981
0.061063888,0.925570516
0.048271666,0.921305882
0.047911516,0.923110026
0.053045701,0.926845881
0.052739829,0.928999321
0.061855455,0.93291369
0.061978172,0.932467488
0.049755015,0.921862595
0.049481289,0.924171309
0.049864136,0.925933172
0.049533869,0.928076923
0.059140727,0.91172917
0.051576354,0.901985772
0.048025184,0.905162215
0.04777285,0.910894079
0.054452863,0.918131369
0.047642666,0.906767852
0.059942407,0.916485052
0.052742182,0.913591779
0.058077176,0.911054666
0.047359801,0.906080475
0.04703497,0.913374045
0.053370008,0.919169611
0.058863753,0.916141575
0.04918157,0.916216318
0.051955557,0.925619636
0.051570997,0.927302563
0.061600055,0.932255589
0.046340456,0.923652895
0.0516183,0.925597513
0.051254598,0.926283098
0.061777385,0.931305732
0.046875601,0.923967028
0.04655006,0.924806939
0.056440777,0.92971469
0.053799519,0.92812463
0.053485324,0.929500518
0.053533731,0.928642196
0.053219935,0.92836779
0.06331644,0.93178004
0.053430269,0.925293724
0.053537512,0.926574464
0.05322278,0.928816438
0.046675234,0.926811123
0.046403109,0.928663475
0.053667302,0.931927389
0.053406921,0.932687344
0.062550372,0.938829156
0.063569509,0.937474516
0.053565629,0.929263196
0.0536708,0.929677822
0.053409484,0.932996519
0.049390769,0.919850981
0.04956888,0.922050524
0.051136596,0.925764973
0.05073946,0.927795913
0.060424869,0.932069329
0.060547807,0.931124765
0.060164272,0.93042803
0.045520991,0.924310478
0.045221044,0.925213261
0.051608466,0.926310698
0.051309382,0.928179644
0.052357063,0.927737462
0.05206886,0.927709143
0.060826755,0.93158808
0.052243077,0.924548336
0.052161078,0.928903993
0.060950791,0.930644671
0.052360577,0.925809888
0.052071439,0.927716018
0.05083643,0.925235343
0.050460153,0.926592372
0.060639289,0.930914938
0.060762356,0.930594878
0.060399679,0.929292797
0.04611353,0.924722596
0.045775414,0.925986501
0.055322481,0.93042097
0.053041769,0.927032305
0.052714998,0.928906111
0.05277442,0.927416409
0.052448048,0.927841986
0.062202465,0.930536851
0.052659329,0.924221917
0.052541599,0.929371028
0.062327872,0.929168128
0.052778162,0.925496086
0.052450855,0.92821555
0.045840666,0.927849399
0.045555965,0.929855512
0.052090615,0.930308578
0.051806777,0.932658823
0.052835493,0.931595797
0.052562537,0.932831395
0.061373588,0.93665837
0.062383037,0.936093576
0.052722192,0.928981037
0.052654016,0.933657697
0.061496885,0.935377374
0.062506372,0.934774315
0.052838953,0.929786695
0.052565061,0.932861867
0.050163069,0.918186331
0.049788606,0.920387528
0.060068284,0.924666507
0.060191381,0.923936367
0.044550888,0.918202528
0.044273613,0.919437045
0.051276258,0.917289202
0.049858618,0.917677164
0.049505013,0.919196396
0.06027842,0.923720623
0.060401645,0.923533789
0.045135522,0.918381562
0.044820079,0.920134418
0.061843779,0.923504044
0.051684605,0.91720464
0.044876868,0.921306053
0.04461484,0.923672619
0.052296709,0.9253178
0.052006856,0.927135493
0.047599083,0.925633608
0.047347392,0.927794672
0.047790133,0.928433519
0.0474819,0.930012463
0.048260677,0.930238389
0.048347657,0.931588429
0.048258187,0.93044516
0.046717455,0.913389181
0.046584697,0.910269871
0.051153842,0.920276319
0.051848299,0.919901186
0.045935167,0.913375311
0.04569396,0.912726205
0.045790781,0.910187435
0.045581928,0.918445739
0.052415453,0.925101024
0.04420991,0.908221461
0.044029544,0.907601498
0.04406636,0.904896638
0.045053996,0.908566227
0.044835461,0.907689555
0.044909341,0.905173129
0.044714966,0.912247921
0.044572101,0.909020075
0.061420351,0.931012327
0.063737161,0.929055267
0.050940744,0.924775875
0.050546398,0.926241102
0.060289875,0.931046887
0.060412847,0.930138121
0.060032101,0.929180803
0.049961332,0.9171349
0.049589657,0.918774409
0.051940168,0.921359516
0.051616999,0.923147252
0.061672559,0.927182234
0.061801135,0.926369092
0.053394832,0.922547715
0.053043977,0.923952138
0.053119851,0.923088869
0.052769395,0.922857425
0.063069631,0.926283565
0.053005837,0.919555197
0.052867486,0.92473516
0.053129209,0.921002893
0.052777818,0.923417946
0.05239553,0.92565046
0.052087608,0.926890416
0.062192607,0.931669825
0.052228938,0.929434678
0.052155401,0.917372826
0.058850214,0.920717539
0.058847762,0.919288633
0.054717161,0.914843923
0.061978329,0.919272252
0.061730283,0.91981305
0.061722476,0.918337012
0.051001948,0.919124675
0.050809174,0.913405108
0.050511736,0.912782332
0.050664802,0.910383625
0.057699521,0.920685027
0.057697031,0.919421262
0.050732762,0.913217004
0.049926598,0.907618868
0.049781957,0.904195076
0.045356731,0.909771184
0.045129607,0.909766921
0.052702547,0.915962621
0.045214525,0.90632899
0.051968464,0.909772657
0.059503341,0.916027216
0.051823889,0.906560873
0.059242071,0.916636074
0.059244983,0.91539004
0.051144328,0.909501018
0.059264233,0.91537052
0.05100092,0.905509352
0.059005615,0.914685308
0.046289042,0.909719976
0.04602375,0.909321338
0.05381549,0.915137405
0.046145731,0.906239756
0.053553311,0.915846467
0.053556618,0.914570003
0.052580086,0.908745623
0.052815773,0.907961373
0.05254644,0.908952695
0.052699171,0.910669701
0.045828695,0.914352633
0.053242915,0.921083468
0.045687175,0.911171227
0.052602902,0.915309555
0.060202392,0.92161229
0.052459012,0.912353149
0.059941194,0.922159808
0.059944051,0.920942126
0.046286832,0.91675213
0.053569721,0.923417204
0.046143733,0.913525008
0.060523721,0.923827018
0.052832511,0.914284001
0.060275286,0.924366564
0.060267332,0.923104042
0.072580517,0.913826611
0.072257433,0.921272947
0.057965636,0.918864729
0.057192621,0.920814992
0.056545923,0.912306097
0.05581384,0.914900188
0.055695875,0.917196489
0.053975868,0.913891333
0.053608302,0.911386191
0.054295077,0.911445758
0.053585027,0.913403263
0.063856231,0.918736551
0.063946364,0.917660442
0.062119774,0.913242744
0.061821521,0.913661457
0.061828328,0.911792315
0.0527871,0.921617836
0.054337262,0.908430067
0.05360034,0.911308021
0.064351663,0.916887594
0.056337516,0.913573006
0.055544052,0.915740085
0.066396336,0.919718185
0.071492448,0.933311585
0.071586037,0.933032855
0.059144508,0.923361529
0.070726278,0.925209837
0.06066317,0.925620533
0.061208475,0.926581547
0.072791698,0.924568379
0.072776623,0.930687996
0.063207403,0.930104169
0.074793421,0.92926591
0.059361055,0.915058221
0.058579528,0.917449669
0.068997705,0.92187884
0.069088383,0.921287581
0.068320457,0.920849273
0.059659495,0.919569143
0.058893215,0.921456681
0.06936083,0.927292718
0.069450768,0.926747228
0.068698089,0.92536652
0.059536667,0.926492044
0.059239111,0.926871085
0.069732667,0.930598143
0.069824874,0.929547164
0.059246078,0.92489984
0.068468392,0.937767933
0.059416444,0.913214683
0.058608044,0.917524848
0.069506339,0.920122553
0.069601522,0.919473748
0.059670563,0.917436621
0.05887741,0.920785182
0.069825144,0.924999275
0.069919587,0.92405517
0.069140035,0.923466631
0.060319451,0.923133541
0.071193078,0.925313184
0.06189772,0.920844002
0.061174932,0.92445855
0.061591836,0.921208619
0.060869447,0.923276871
0.071924723,0.924834289
0.06151392,0.918229676
0.060934504,0.924517288
0.072021636,0.923524809
0.061604259,0.919290685
0.071312449,0.923953318
0.060880934,0.923815403
0.060827943,0.925721096
0.071791233,0.930683528
0.071876443,0.929868135
0.063856173,0.925601621
0.063076843,0.92845322
0.063563051,0.92600968
0.06278412,0.927232272
0.073842191,0.929968791
0.062839944,0.928398676
0.073929871,0.928670297
0.063564663,0.923989853
0.062784796,0.927832541
0.060989926,0.916328371
0.068840371,0.915959263
0.068590518,0.91529417
0.054709181,0.911204869
0.054018448,0.911180831
0.062811212,0.916309182
0.063219424,0.920732207
0.070837039,0.921443149
0.070589328,0.920733128
0.071040138,0.920670977
0.070792236,0.919996909
0.056943804,0.915520404
0.064994039,0.92018297
0.07227357,0.919800937
0.059099654,0.908957585
0.059483099,0.914328366
0.067046801,0.915053849
0.057552925,0.918641658
0.058294195,0.920238291
0.051573548,0.913334465
0.059643771,0.918914064
0.051465585,0.90994011
0.059359018,0.919569693
0.059359933,0.918407293
0.058870164,0.916071518
0.058849685,0.914921118
0.058683945,0.92536324
0.066275241,0.92693846
0.058391131,0.918957205
0.066534396,0.926706289
0.066250624,0.927237253
0.066251089,0.926007631
0.059633632,0.908342237
0.067066993,0.908637246
0.067333519,0.90839983
0.067040944,0.908973945
0.067047235,0.907748118
0.059972756,0.913665947
0.067564868,0.914000051
0.067831326,0.913745569
0.067538824,0.914333435
0.06754506,0.913083802
0.061563785,0.915295758
0.05954609,0.907998494
0.068049102,0.913631765
0.067756472,0.914198334
0.067762645,0.912959682
0.054171223,0.907826311
0.053533998,0.907792065
0.062080779,0.914207279
0.054064011,0.904308374
0.061787696,0.91489259
0.061288103,0.911297876
0.061794068,0.913637968
0.061466311,0.910475087
0.069334929,0.913949834
0.061357649,0.907422717
0.061740409,0.909842298
0.06163051,0.906631281
0.069308627,0.914302487
0.061330275,0.90766957
0.061449972,0.90933702
0.069314553,0.912651487
0.062108765,0.917704562
0.069700924,0.919220979
0.069961859,0.918991829
0.069682119,0.91952818
0.069677544,0.918288231
0.07015538,0.917819363
0.069875513,0.918327111
0.069870874,0.917151718
0.056312358,0.911694446
0.064168166,0.91769227
0.063887846,0.918351781
0.063883407,0.917158651
0.063607493,0.914395728
0.071422363,0.918782224
0.063876067,0.913756581
0.071403301,0.919076209
0.063587581,0.913158459
0.071398415,0.917485458
0.050468418,0.909663017
0.058183977,0.915022871
0.057897662,0.915669023
0.057898539,0.914566993
0.057161342,0.920855515